query,security_name
Can I start an SIP with HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Is Groww Nifty EV & New Age Automotive ETF FOF a good investment for SIP?,Groww Nifty EV & New Age Automotive ETF FOF
Can you provide the recent NAV for Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
What is the NAV of Kotak Bluechip Fund?,Kotak Bluechip Fund
Can you provide details about the dividend option in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Can you provide details about the dividend option in Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is it beneficial to hold DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days long-term?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What is the NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Tell me about the volatility of Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What are the redemption terms for Union Overnight Fund?,Union Overnight Fund
What's the performance of Union Overnight Fund?,Union Overnight Fund
What are the recent returns for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Is DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days a good investment for SIP?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Give me the benchmark for Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the asset allocation of Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Does ICICI Prudential Transportation and Logistics Fund have any lock-in period?,ICICI Prudential Transportation and Logistics Fund
What was the return of UTI Money Market Fund in the past 6 months?,UTI Money Market Fund
What are the redemption terms for ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
Tell me the expense ratio of Union Overnight Fund.,Union Overnight Fund
What's the performance of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What are the redemption terms for Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
How risky is investing in Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Does Canara Robeco ELSS Tax Saver have any lock-in period?,Canara Robeco ELSS Tax Saver
What is the NAV of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What is the NAV of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What's the asset allocation of Union Overnight Fund?,Union Overnight Fund
What's the performance of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
How has UTI Money Market Fund performed over the last year?,UTI Money Market Fund
Can you provide the recent NAV for ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
How is Tata BSE Select Business Groups Index Fund rated by AMFI?,Tata BSE Select Business Groups Index Fund
Can you provide the recent NAV for Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the asset allocation of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
What is the NAV of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Explain the investment objective of Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
Can you provide details about the dividend option in Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What are the recent returns for Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What are the redemption terms for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Tell me about the portfolio holdings of Bandhan Credit Risk Fund.,Bandhan Credit Risk Fund
Is it beneficial to hold Kotak Focused Equity Fund long-term?,Kotak Focused Equity Fund
What was the return of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative in the past 6 months?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Is Aditya Birla Sun Life Pharma & Healthcare Fund a good investment for SIP?,Aditya Birla Sun Life Pharma & Healthcare Fund
Tell me the expense ratio of UTI Money Market Fund.,UTI Money Market Fund
Tell me about the volatility of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Is DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days better than other similar funds?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What is the NAV of Union Overnight Fund?,Union Overnight Fund
What's the growth option NAV of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Give me the benchmark for Bandhan Credit Risk Fund.,Bandhan Credit Risk Fund
Is Aditya Birla Sun Life Pharma & Healthcare Fund a good investment for SIP?,Aditya Birla Sun Life Pharma & Healthcare Fund
How risky is investing in Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
How risky is investing in SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Is it beneficial to hold Bandhan Credit Risk Fund long-term?,Bandhan Credit Risk Fund
How risky is investing in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Tell me about the portfolio holdings of Groww Nifty EV & New Age Automotive ETF FOF.,Groww Nifty EV & New Age Automotive ETF FOF
Does Groww Nifty EV & New Age Automotive ETF FOF have any lock-in period?,Groww Nifty EV & New Age Automotive ETF FOF
How has Kotak Focused Equity Fund performed over the last year?,Kotak Focused Equity Fund
What are the redemption terms for Kotak Bluechip Fund?,Kotak Bluechip Fund
Can you provide details about the dividend option in Kotak Bluechip Fund?,Kotak Bluechip Fund
Give me the benchmark for Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the Sharpe Ratio of Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What's the asset allocation of Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Explain the investment objective of Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
Can you provide details about the dividend option in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
What's the growth option NAV of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Does Aditya Birla Sun Life Pharma & Healthcare Fund have any lock-in period?,Aditya Birla Sun Life Pharma & Healthcare Fund
Has UTI Money Market Fund been outperforming the market?,UTI Money Market Fund
What's the growth option NAV of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
Give me the benchmark for Aditya Birla Sun Life Pharma & Healthcare Fund.,Aditya Birla Sun Life Pharma & Healthcare Fund
What are the recent returns for DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
What's the Sharpe Ratio of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
How risky is investing in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What was the last month's return of ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
What is the NAV of UTI Money Market Fund?,UTI Money Market Fund
How is Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative rated by AMFI?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
What was the last month's return of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
What's the risk associated with DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days?,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Should I consider investing in HSBC Medium Duration Fund?,HSBC Medium Duration Fund
What's the dividend frequency for Kotak Bluechip Fund?,Kotak Bluechip Fund
What is the NAV of Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Does Kotak Focused Equity Fund have any lock-in period?,Kotak Focused Equity Fund
What's the asset allocation of Union Overnight Fund?,Union Overnight Fund
What's the risk associated with Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Can I start an SIP with Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What's the performance of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Is UTI Money Market Fund a good investment for SIP?,UTI Money Market Fund
Is it beneficial to hold Aditya Birla Sun Life Pharma & Healthcare Fund long-term?,Aditya Birla Sun Life Pharma & Healthcare Fund
Can you provide details about the dividend option in Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Tell me about the volatility of ICICI Prudential Gilt Fund.,ICICI Prudential Gilt Fund
What's the dividend frequency for UTI Money Market Fund?,UTI Money Market Fund
What was the return of Tata BSE Select Business Groups Index Fund in the past 6 months?,Tata BSE Select Business Groups Index Fund
What's the Sharpe Ratio of Kotak Bluechip Fund?,Kotak Bluechip Fund
What's the risk associated with Canara Robeco ELSS Tax Saver?,Canara Robeco ELSS Tax Saver
Give me the benchmark for Tata BSE Select Business Groups Index Fund.,Tata BSE Select Business Groups Index Fund
Tell me about the volatility of Bandhan Credit Risk Fund.,Bandhan Credit Risk Fund
Can you provide details about the dividend option in Kotak Bluechip Fund?,Kotak Bluechip Fund
What's the dividend frequency for HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Tell me about the portfolio holdings of UTI Money Market Fund.,UTI Money Market Fund
What is the minimum investment required for Union Overnight Fund?,Union Overnight Fund
What are the redemption terms for Kotak Focused Equity Fund?,Kotak Focused Equity Fund
Has Kotak Bluechip Fund been outperforming the market?,Kotak Bluechip Fund
What are the redemption terms for SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the performance of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Give me the benchmark for Union Overnight Fund.,Union Overnight Fund
What's the performance of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Can you provide details about the dividend option in ICICI Prudential Transportation and Logistics Fund?,ICICI Prudential Transportation and Logistics Fund
Is Motilal Oswal Nifty Microcap 250 Index Fund a good investment for SIP?,Motilal Oswal Nifty Microcap 250 Index Fund
Does SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) have any lock-in period?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
Explain the investment objective of ICICI Prudential Gilt Fund.,ICICI Prudential Gilt Fund
What's the Sharpe Ratio of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Does Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative offer a switch option?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
What's the Sharpe Ratio of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What's the performance of ICICI Prudential Gilt Fund?,ICICI Prudential Gilt Fund
What's the asset allocation of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
What's the risk associated with SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What was the return of ICICI Prudential Transportation and Logistics Fund in the past 6 months?,ICICI Prudential Transportation and Logistics Fund
What is the NAV of Groww Nifty EV & New Age Automotive ETF FOF?,Groww Nifty EV & New Age Automotive ETF FOF
What's the dividend frequency for Union Overnight Fund?,Union Overnight Fund
What's the dividend frequency for UTI Money Market Fund?,UTI Money Market Fund
What's the growth option NAV of Kotak Focused Equity Fund?,Kotak Focused Equity Fund
How risky is investing in HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Tell me about the portfolio holdings of ICICI Prudential Gilt Fund.,ICICI Prudential Gilt Fund
What's the Sharpe Ratio of UTI Money Market Fund?,UTI Money Market Fund
Does Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative have any lock-in period?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Can I start an SIP with Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What is the minimum investment required for Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Tell me about the portfolio holdings of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Can I start an SIP with Union Overnight Fund?,Union Overnight Fund
Can you provide details about the dividend option in Bandhan Credit Risk Fund?,Bandhan Credit Risk Fund
What was the return of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days) in the past 6 months?,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the Sharpe Ratio of HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Can you provide details about the dividend option in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
What's the performance of Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Tell me the expense ratio of Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative.,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Give me the benchmark for Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative.,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Tell me about the volatility of DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days.,DSP Fixed Maturity Plan - Series 264 - 60 Months and 17 Days
Does Aditya Birla Sun Life Pharma & Healthcare Fund have any lock-in period?,Aditya Birla Sun Life Pharma & Healthcare Fund
Should I consider investing in Union Overnight Fund?,Union Overnight Fund
Is Aditya Birla Sun Life Pharma & Healthcare Fund better than other similar funds?,Aditya Birla Sun Life Pharma & Healthcare Fund
How risky is investing in Kotak Bluechip Fund?,Kotak Bluechip Fund
What was the last month's return of Union Overnight Fund?,Union Overnight Fund
How has Bandhan Credit Risk Fund performed over the last year?,Bandhan Credit Risk Fund
What was the return of Groww Nifty EV & New Age Automotive ETF FOF in the past 6 months?,Groww Nifty EV & New Age Automotive ETF FOF
Tell me about the portfolio holdings of SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days).,SBI Fixed Maturity Plan (FMP) - Series 78 (1170 Days)
What's the risk associated with HSBC Medium Duration Fund?,HSBC Medium Duration Fund
Can you provide details about the dividend option in Union Overnight Fund?,Union Overnight Fund
Tell me about the portfolio holdings of Union Overnight Fund.,Union Overnight Fund
What's the performance of Tata BSE Select Business Groups Index Fund?,Tata BSE Select Business Groups Index Fund
Can you provide details about the dividend option in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Can you provide details about the dividend option in Union Overnight Fund?,Union Overnight Fund
Explain the investment objective of Kotak Bluechip Fund.,Kotak Bluechip Fund
Does Tata BSE Select Business Groups Index Fund have any lock-in period?,Tata BSE Select Business Groups Index Fund
How risky is investing in Aditya Birla Sun Life Pharma & Healthcare Fund?,Aditya Birla Sun Life Pharma & Healthcare Fund
Is it beneficial to hold Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative long-term?,Motilal Oswal Asset Allocation Passive Fund of Fund - Conservative
Can you provide details about the dividend option in Motilal Oswal Nifty Microcap 250 Index Fund?,Motilal Oswal Nifty Microcap 250 Index Fund
Is Motilal Oswal Nifty Microcap 250 Index Fund better than other similar funds?,Motilal Oswal Nifty Microcap 250 Index Fund
Is MO Business Cycle suitable for a conservative investor?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
Is SBI Auto Fund suitable for a conservative investor?,SBI Automotive Opportunities Fund
Is SBI Auto Fund better than FD?,SBI Automotive Opportunities Fund
What's the investment horizon for DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
How has MO Business Cycle performed over the last 1 year?,Motilal Oswal Business Cycle Fund
Any lock-in period for SBI Auto Fund?,SBI Automotive Opportunities Fund
Does Axis Floating Rate Fund give regular dividends?,Axis Floater Fund
Does ICICI Pru FMP 1199Q give regular dividends?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Does Axis Floating Rate Fund allow SWP?,Axis Floater Fund
Review of HDFC Nifty Gilt 2032 fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Axis FRF open-ended or closed-ended?,Axis Floater Fund
I want to start an SIP in DSP FMP 270. Good idea?,DSP FMP Series 270 - 1144 Days
Tell me the latest NAV of SBI Automotive Fund.,SBI Automotive Opportunities Fund
Who is managing Axis Floater right now?,Axis Floater Fund
What is the risk level of Axis Floating Rate Fund?,Axis Floater Fund
Review of HDFC FMP 2638D fund?,HDFC FMP 2638D February 2023
I want to start an SIP in Axis FRF. Good idea?,Axis Floater Fund
What’s the AUM of HDFC Fixed Maturity Plan Feb 2023?,HDFC FMP 2638D February 2023
How has Motilal Cycle Fund performed over the last 1 year?,Motilal Oswal Business Cycle Fund
Can I invest in DSP FMP 270 monthly?,DSP FMP Series 270 - 1144 Days
Any lock-in period for HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
I want to start an SIP in HDFC Fixed Maturity Plan Feb 2023. Good idea?,HDFC FMP 2638D February 2023
Is Bandhan Short Term a good option for long term investment?,Bandhan Ultra Short Term Fund
What is the risk level of Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
Returns of Axis Floater vs Nifty?,Axis Floater Fund
What is the expense ratio of Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
What's the SIP minimum for Bandhan UST Fund?,Bandhan Ultra Short Term Fund
Who is managing Franklin India Liquid right now?,Franklin India Liquid Fund
I want to start an SIP in ICICI FMP Series 88. Good idea?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What is the risk level of MO Business Cycle?,Motilal Oswal Business Cycle Fund
What's the return of Bandhan Ultra Short in the past 6 months?,Bandhan Ultra Short Term Fund
What's the investment horizon for Bandhan UST Fund?,Bandhan Ultra Short Term Fund
Does Motilal Cycle Fund give regular dividends?,Motilal Oswal Business Cycle Fund
Any lock-in period for HDFC G-Sec 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Does HDFC FMP Feb 2023 give regular dividends?,HDFC FMP 2638D February 2023
What's the SIP minimum for SBI Automotive Fund?,SBI Automotive Opportunities Fund
Review of Franklin Short Term fund?,Franklin India Liquid Fund
Does DSP Fixed Maturity 270 allow SWP?,DSP FMP Series 270 - 1144 Days
What is the expense ratio of Bandhan UST Fund?,Bandhan Ultra Short Term Fund
What is the risk level of Axis FRF?,Axis Floater Fund
What is the risk level of HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
Does HDFC FMP 2638D allow SWP?,HDFC FMP 2638D February 2023
Is HDFC FMP 2638D open-ended or closed-ended?,HDFC FMP 2638D February 2023
Tell me the latest NAV of Franklin Short Term.,Franklin India Liquid Fund
What is the risk level of DSP FMP 270?,DSP FMP Series 270 - 1144 Days
Is HDFC G-Sec Fund suitable for a conservative investor?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Bandhan Bond Income a good option for long term investment?,Bandhan Bond Fund - Income Plan
Does HDFC Fixed Maturity Plan Feb 2023 give regular dividends?,HDFC FMP 2638D February 2023
Does ICICI Pru FMP 1199Q allow SWP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is HDFC FMP 2638D suitable for a conservative investor?,HDFC FMP 2638D February 2023
Is Bandhan Ultra Short suitable for a conservative investor?,Bandhan Ultra Short Term Fund
Any lock-in period for ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Does ICICI 1199 days FMP allow SWP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What is the expense ratio of Bandhan Short Term?,Bandhan Ultra Short Term Fund
What's the SIP minimum for Franklin Short Term?,Franklin India Liquid Fund
What’s the AUM of HDFC FMP 2638D?,HDFC FMP 2638D February 2023
What's the SIP minimum for HDFC G-Sec 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Tell me the latest NAV of HDFC Fixed Maturity Plan Feb 2023.,HDFC FMP 2638D February 2023
How has DSP FMP 1144 Days performed over the last 1 year?,DSP FMP Series 270 - 1144 Days
Is HDFC Nifty Gilt 2032 suitable for a conservative investor?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is SBI Automotive Fund better than FD?,SBI Automotive Opportunities Fund
What’s the AUM of Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
What's the SIP minimum for MO Business Cycle?,Motilal Oswal Business Cycle Fund
Returns of Motilal Business Cycle vs Nifty?,Motilal Oswal Business Cycle Fund
Is HDFC Nifty Gilt 2032 a good option for long term investment?,HDFC Nifty G-Sec Sep 2032 Index Fund
Can I invest in SBI Automotive Fund monthly?,SBI Automotive Opportunities Fund
What is the risk level of Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
Returns of Bandhan Bond Income vs Nifty?,Bandhan Bond Fund - Income Plan
Does Bandhan Income Plan give regular dividends?,Bandhan Bond Fund - Income Plan
How has ICICI FMP Series 88 performed over the last 1 year?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is Bandhan UST Fund a good option for long term investment?,Bandhan Ultra Short Term Fund
Does Bandhan Ultra Short give regular dividends?,Bandhan Ultra Short Term Fund
Tell me the latest NAV of HDFC G-Sec Fund.,HDFC Nifty G-Sec Sep 2032 Index Fund
Can I invest in Axis FRF monthly?,Axis Floater Fund
What's the investment horizon for Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
Does HDFC FMP Feb 2023 give regular dividends?,HDFC FMP 2638D February 2023
Is Motilal Business Cycle better than FD?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for Bandhan Short Term?,Bandhan Ultra Short Term Fund
What is the expense ratio of DSP FMP 270?,DSP FMP Series 270 - 1144 Days
Is Franklin Short Term better than FD?,Franklin India Liquid Fund
Review of Bandhan Short Term fund?,Bandhan Ultra Short Term Fund
Does DSP FMP 1144 Days allow SWP?,DSP FMP Series 270 - 1144 Days
Any lock-in period for HDFC FMP Feb 2023?,HDFC FMP 2638D February 2023
Tell me the latest NAV of Motilal Business Cycle.,Motilal Oswal Business Cycle Fund
Is Bandhan UST Fund better than FD?,Bandhan Ultra Short Term Fund
What’s the AUM of Axis Floater?,Axis Floater Fund
Who is managing SBI Auto Fund right now?,SBI Automotive Opportunities Fund
Can I invest in Motilal Cycle Fund monthly?,Motilal Oswal Business Cycle Fund
Can I invest in HDFC FMP 2638D monthly?,HDFC FMP 2638D February 2023
Review of ICICI Pru FMP 1199Q fund?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Can I invest in Axis Floater monthly?,Axis Floater Fund
Returns of HDFC FMP Feb 2023 vs Nifty?,HDFC FMP 2638D February 2023
Any lock-in period for SBI Auto Fund?,SBI Automotive Opportunities Fund
Returns of HDFC Fixed Maturity Plan Feb 2023 vs Nifty?,HDFC FMP 2638D February 2023
What's the return of Motilal Cycle Fund in the past 6 months?,Motilal Oswal Business Cycle Fund
What's the return of HDFC Fixed Maturity Plan Feb 2023 in the past 6 months?,HDFC FMP 2638D February 2023
Does ICICI Pru FMP 1199Q give regular dividends?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
How has Motilal Cycle Fund performed over the last 1 year?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for Bandhan Ultra Short?,Bandhan Ultra Short Term Fund
Is SBI Auto Fund open-ended or closed-ended?,SBI Automotive Opportunities Fund
Any lock-in period for ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the return of Bandhan UST Fund in the past 6 months?,Bandhan Ultra Short Term Fund
Who is managing Axis FRF right now?,Axis Floater Fund
What’s the AUM of DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
Returns of HDFC FMP 2638D vs Nifty?,HDFC FMP 2638D February 2023
Does Axis FRF give regular dividends?,Axis Floater Fund
Is Bandhan UST Fund a good option for long term investment?,Bandhan Ultra Short Term Fund
What's the investment horizon for Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
Any lock-in period for MO Business Cycle?,Motilal Oswal Business Cycle Fund
Any lock-in period for Axis Floater?,Axis Floater Fund
What's the SIP minimum for Bandhan Ultra Short?,Bandhan Ultra Short Term Fund
Who is managing HDFC G-Sec Fund right now?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is DSP FMP 1144 Days a good option for long term investment?,DSP FMP Series 270 - 1144 Days
Does DSP FMP 270 allow SWP?,DSP FMP Series 270 - 1144 Days
What’s the AUM of SBI Automotive Fund?,SBI Automotive Opportunities Fund
Can I invest in DSP Fixed Maturity 270 monthly?,DSP FMP Series 270 - 1144 Days
Who is managing DSP FMP 1144 Days right now?,DSP FMP Series 270 - 1144 Days
Is Bandhan Bond Income a good option for long term investment?,Bandhan Bond Fund - Income Plan
Is Axis Floating Rate Fund open-ended or closed-ended?,Axis Floater Fund
Can I invest in HDFC G-Sec Fund monthly?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Bandhan Bond Income better than FD?,Bandhan Bond Fund - Income Plan
Does DSP Fixed Maturity 270 give regular dividends?,DSP FMP Series 270 - 1144 Days
I want to start an SIP in HDFC Fixed Maturity Plan Feb 2023. Good idea?,HDFC FMP 2638D February 2023
