query,security_name
Tell me the latest NAV of Axis Floating Rate Fund.,Axis Floater Fund
Who is managing Motilal Cycle Fund right now?,Motilal Oswal Business Cycle Fund
Is ICICI 1199 days FMP a good option for long term investment?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is ICICI FMP Series 88 a good option for long term investment?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is HDFC G-Sec 2032 better than FD?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Bandhan Ultra Short open-ended or closed-ended?,Bandhan Ultra Short Term Fund
Any lock-in period for ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the SIP minimum for Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
Is DSP FMP 270 open-ended or closed-ended?,DSP FMP Series 270 - 1144 Days
Is Axis FRF open-ended or closed-ended?,Axis Floater Fund
What's the investment horizon for SBI Automotive Fund?,SBI Automotive Opportunities Fund
Review of MO Business Cycle fund?,Motilal Oswal Business Cycle Fund
Does HDFC FMP 2638D give regular dividends?,HDFC FMP 2638D February 2023
What is the risk level of Franklin Liquid Fund?,Franklin India Liquid Fund
Is Motilal Business Cycle a good option for long term investment?,Motilal Oswal Business Cycle Fund
I want to start an SIP in Motilal Cycle Fund. Good idea?,Motilal Oswal Business Cycle Fund
I want to start an SIP in HDFC FMP 2638D. Good idea?,HDFC FMP 2638D February 2023
Is SBI Automotive Fund better than FD?,SBI Automotive Opportunities Fund
Is Bandhan Short Term open-ended or closed-ended?,Bandhan Ultra Short Term Fund
What’s the AUM of Franklin Liquid Fund?,Franklin India Liquid Fund
What is the risk level of Axis FRF?,Axis Floater Fund
Does Bandhan Short Term give regular dividends?,Bandhan Ultra Short Term Fund
What is the expense ratio of Franklin India Liquid?,Franklin India Liquid Fund
Can I invest in Motilal Cycle Fund monthly?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
Recent NAV trend of Franklin Short Term?,Franklin India Liquid Fund
Is Axis Floating Rate Fund actively managed?,Axis Floater Fund
Tell me about the investment objective of Franklin Short Term.,Franklin India Liquid Fund
What's the fund size of Axis FRF?,Axis Floater Fund
Returns of Bandhan Income Plan vs Nifty?,Bandhan Bond Fund - Income Plan
Can I park surplus money in Bandhan Short Term for 6 months?,Bandhan Ultra Short Term Fund
Is Franklin Short Term open-ended or closed-ended?,Franklin India Liquid Fund
Recent NAV trend of SBI Automotive Fund?,SBI Automotive Opportunities Fund
Details about exit load in HDFC G-Sec 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Any lock-in period for SBI Auto Opportunities?,SBI Automotive Opportunities Fund
Growth or IDCW — which is better for Bandhan UST Fund?,Bandhan Ultra Short Term Fund
SEBI classification for Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
Returns of SBI Auto Fund vs Nifty?,SBI Automotive Opportunities Fund
Can I invest in SBI Auto Fund monthly?,SBI Automotive Opportunities Fund
Can I invest in Axis Floater for my retirement?,Axis Floater Fund
Can I park surplus money in DSP FMP 270 for 6 months?,DSP FMP Series 270 - 1144 Days
How volatile is ICICI 1199 days FMP historically?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Compare CAGR of MO Business Cycle over 3 years.,Motilal Oswal Business Cycle Fund
What's the latest fund review on HDFC FMP 2638D?,HDFC FMP 2638D February 2023
How volatile is HDFC Fixed Maturity Plan Feb 2023 historically?,HDFC FMP 2638D February 2023
Growth or IDCW — which is better for Axis Floater?,Axis Floater Fund
How volatile is Franklin India Liquid historically?,Franklin India Liquid Fund
Is Bandhan Bond Income actively managed?,Bandhan Bond Fund - Income Plan
What's the latest fund review on Bandhan Ultra Short?,Bandhan Ultra Short Term Fund
What's the investment horizon for SBI Auto Fund?,SBI Automotive Opportunities Fund
SEBI classification for DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
What are expert opinions on Franklin Liquid Fund?,Franklin India Liquid Fund
What's the investment horizon for ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Should I hold or redeem my investment in Franklin Short Term?,Franklin India Liquid Fund
Is Bandhan Long Term Debt better than FD?,Bandhan Bond Fund - Income Plan
What's the SIP minimum for Franklin India Liquid?,Franklin India Liquid Fund
What's the SIP minimum for DSP FMP 270?,DSP FMP Series 270 - 1144 Days
Can I invest in DSP FMP 270 for my retirement?,DSP FMP Series 270 - 1144 Days
How volatile is HDFC FMP Feb 2023 historically?,HDFC FMP 2638D February 2023
Dividend history of Bandhan Short Term?,Bandhan Ultra Short Term Fund
Tell me about the investment objective of Bandhan UST Fund.,Bandhan Ultra Short Term Fund
What’s the AUM of ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Can I invest in Bandhan Long Term Debt for my retirement?,Bandhan Bond Fund - Income Plan
Compare CAGR of Bandhan Income Plan over 3 years.,Bandhan Bond Fund - Income Plan
What kind of portfolio does Bandhan Bond Income maintain?,Bandhan Bond Fund - Income Plan
Is Bandhan Bond Income suitable for a conservative investor?,Bandhan Bond Fund - Income Plan
What are expert opinions on HDFC Nifty Gilt 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Axis FRF a low-risk fund?,Axis Floater Fund
Can I invest in DSP FMP 1144 Days monthly?,DSP FMP Series 270 - 1144 Days
Review of HDFC FMP Feb 2023 fund?,HDFC FMP 2638D February 2023
Is ICICI Pru FMP 1199Q a low-risk fund?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is DSP Fixed Maturity 270 a low-risk fund?,DSP FMP Series 270 - 1144 Days
What are expert opinions on Bandhan Short Term?,Bandhan Ultra Short Term Fund
Tell me the latest NAV of DSP FMP 270.,DSP FMP Series 270 - 1144 Days
Performance of SBI Automotive Fund against its benchmark?,SBI Automotive Opportunities Fund
Does SBI Auto Fund allow SWP?,SBI Automotive Opportunities Fund
How volatile is HDFC G-Sec Fund historically?,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the return of SBI Auto Fund in the past 6 months?,SBI Automotive Opportunities Fund
What is the expense ratio of HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the investment horizon for HDFC G-Sec 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Should I hold or redeem my investment in HDFC Nifty Gilt 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Recent NAV trend of Bandhan Bond Income?,Bandhan Bond Fund - Income Plan
How volatile is Bandhan Ultra Short historically?,Bandhan Ultra Short Term Fund
What's the investment horizon for Franklin Liquid Fund?,Franklin India Liquid Fund
Any lock-in period for SBI Automotive Fund?,SBI Automotive Opportunities Fund
Recent NAV trend of DSP FMP 270?,DSP FMP Series 270 - 1144 Days
What's the fund size of DSP FMP 270?,DSP FMP Series 270 - 1144 Days
Can I invest in SBI Automotive Fund for my retirement?,SBI Automotive Opportunities Fund
Growth or IDCW — which is better for Bandhan Ultra Short?,Bandhan Ultra Short Term Fund
Any lock-in period for Bandhan Short Term?,Bandhan Ultra Short Term Fund
I want to start an SIP in DSP Fixed Maturity 270. Good idea?,DSP FMP Series 270 - 1144 Days
Is Bandhan UST Fund open-ended or closed-ended?,Bandhan Ultra Short Term Fund
Is Franklin Short Term a low-risk fund?,Franklin India Liquid Fund
Can I invest in HDFC Nifty Gilt 2032 for my retirement?,HDFC Nifty G-Sec Sep 2032 Index Fund
Review of Bandhan Long Term Debt fund?,Bandhan Bond Fund - Income Plan
Is Bandhan UST Fund suitable for a conservative investor?,Bandhan Ultra Short Term Fund
What’s the AUM of Axis Floating Rate Fund?,Axis Floater Fund
Is Axis FRF actively managed?,Axis Floater Fund
Who is managing HDFC G-Sec 2032 right now?,HDFC Nifty G-Sec Sep 2032 Index Fund
Who is managing HDFC FMP Feb 2023 right now?,HDFC FMP 2638D February 2023
I want to start an SIP in HDFC FMP Feb 2023. Good idea?,HDFC FMP 2638D February 2023
What’s the AUM of Franklin Short Term?,Franklin India Liquid Fund
Can I invest in HDFC FMP Feb 2023 monthly?,HDFC FMP 2638D February 2023
Performance of Motilal Business Cycle against its benchmark?,Motilal Oswal Business Cycle Fund
Can I park surplus money in Axis Floating Rate Fund for 6 months?,Axis Floater Fund
Details about exit load in ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the latest fund review on SBI Auto Opportunities?,SBI Automotive Opportunities Fund
Is HDFC G-Sec Fund actively managed?,HDFC Nifty G-Sec Sep 2032 Index Fund
Compare Bandhan Long Term Debt with other sectoral funds.,Bandhan Bond Fund - Income Plan
Is Axis Floater a low-risk fund?,Axis Floater Fund
Can I invest in SBI Auto Fund for my retirement?,SBI Automotive Opportunities Fund
How has Bandhan Income Plan performed over the last 1 year?,Bandhan Bond Fund - Income Plan
Is Axis Floater better than FD?,Axis Floater Fund
I want to start an SIP in Bandhan Short Term. Good idea?,Bandhan Ultra Short Term Fund
Details about exit load in SBI Auto Opportunities?,SBI Automotive Opportunities Fund
How has Bandhan Ultra Short performed over the last 1 year?,Bandhan Ultra Short Term Fund
Review of HDFC G-Sec Fund fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is HDFC Nifty Gilt 2032 better than FD?,HDFC Nifty G-Sec Sep 2032 Index Fund
Is Bandhan Short Term suitable for a conservative investor?,Bandhan Ultra Short Term Fund
Is HDFC Fixed Maturity Plan Feb 2023 a low-risk fund?,HDFC FMP 2638D February 2023
Can I invest in HDFC FMP 2638D for my retirement?,HDFC FMP 2638D February 2023
What is the risk level of DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Should I hold or redeem my investment in Axis Floater?,Axis Floater Fund
Is MO Business Cycle a low-risk fund?,Motilal Oswal Business Cycle Fund
What's the investment horizon for SBI Auto Opportunities?,SBI Automotive Opportunities Fund
Is SBI Auto Fund a low-risk fund?,SBI Automotive Opportunities Fund
How has Bandhan Bond Income performed over the last 1 year?,Bandhan Bond Fund - Income Plan
Is Bandhan UST Fund actively managed?,Bandhan Ultra Short Term Fund
What’s the AUM of Bandhan Short Term?,Bandhan Ultra Short Term Fund
What's the investment horizon for HDFC Fixed Maturity Plan Feb 2023?,HDFC FMP 2638D February 2023
Compare HDFC FMP 2638D with other sectoral funds.,HDFC FMP 2638D February 2023
Is SBI Automotive Fund a good option for long term investment?,SBI Automotive Opportunities Fund
Is Franklin India Liquid better than FD?,Franklin India Liquid Fund
Is SBI Automotive Fund open-ended or closed-ended?,SBI Automotive Opportunities Fund
How has SBI Auto Fund performed over the last 1 year?,SBI Automotive Opportunities Fund
How volatile is ICICI FMP Series 88 historically?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Details about exit load in DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Is HDFC FMP 2638D better than FD?,HDFC FMP 2638D February 2023
What's the fund size of Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
Recent NAV trend of ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Can I park surplus money in Franklin Liquid Fund for 6 months?,Franklin India Liquid Fund
Does Axis Floater allow SWP?,Axis Floater Fund
SEBI classification for Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
Expense ratio trends in Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
Expense ratio trends in Axis FRF?,Axis Floater Fund
How has SBI Auto Opportunities performed over the last 1 year?,SBI Automotive Opportunities Fund
What's the return of Axis Floater in the past 6 months?,Axis Floater Fund
What's the return of DSP Fixed Maturity 270 in the past 6 months?,DSP FMP Series 270 - 1144 Days
I want to start an SIP in Franklin India Liquid. Good idea?,Franklin India Liquid Fund
Any lock-in period for Franklin Liquid Fund?,Franklin India Liquid Fund
Recent NAV trend of MO Business Cycle?,Motilal Oswal Business Cycle Fund
I want to start an SIP in Bandhan Ultra Short. Good idea?,Bandhan Ultra Short Term Fund
Details about exit load in SBI Auto Fund?,SBI Automotive Opportunities Fund
Expense ratio trends in Franklin Short Term?,Franklin India Liquid Fund
What's the SIP minimum for ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What is the expense ratio of ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is DSP FMP 1144 Days open-ended or closed-ended?,DSP FMP Series 270 - 1144 Days
How volatile is SBI Auto Fund historically?,SBI Automotive Opportunities Fund
Is ICICI Pru FMP 1199Q actively managed?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Tell me the latest NAV of Franklin India Liquid.,Franklin India Liquid Fund
Is Franklin Liquid Fund actively managed?,Franklin India Liquid Fund
What's the investment horizon for DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
What's the fund size of ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Growth or IDCW — which is better for Bandhan Short Term?,Bandhan Ultra Short Term Fund
Is Franklin Short Term actively managed?,Franklin India Liquid Fund
What is the risk level of Bandhan Short Term?,Bandhan Ultra Short Term Fund
SEBI classification for ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the SIP minimum for HDFC FMP 2638D?,HDFC FMP 2638D February 2023
Review of Franklin Liquid Fund fund?,Franklin India Liquid Fund
Who is managing HDFC Nifty Gilt 2032 right now?,HDFC Nifty G-Sec Sep 2032 Index Fund
Can I park surplus money in Axis Floater for 6 months?,Axis Floater Fund
Tell me about the investment objective of HDFC Fixed Maturity Plan Feb 2023.,HDFC FMP 2638D February 2023
Can I park surplus money in Bandhan Income Plan for 6 months?,Bandhan Bond Fund - Income Plan
Tell me the latest NAV of ICICI FMP Series 88.,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the latest fund review on SBI Automotive Fund?,SBI Automotive Opportunities Fund
What's the SIP minimum for SBI Auto Fund?,SBI Automotive Opportunities Fund
What's the SIP minimum for DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Expense ratio trends in ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is DSP FMP 270 a good option for long term investment?,DSP FMP Series 270 - 1144 Days
What kind of portfolio does Bandhan Short Term maintain?,Bandhan Ultra Short Term Fund
Can I park surplus money in Bandhan Bond Income for 6 months?,Bandhan Bond Fund - Income Plan
What's the fund size of ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Does Franklin Short Term give regular dividends?,Franklin India Liquid Fund
Dividend history of Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
Compare CAGR of HDFC G-Sec 2032 over 3 years.,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the investment horizon for ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the fund size of DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Is HDFC Fixed Maturity Plan Feb 2023 better than FD?,HDFC FMP 2638D February 2023
Should I hold or redeem my investment in Bandhan Ultra Short?,Bandhan Ultra Short Term Fund
How volatile is Franklin Short Term historically?,Franklin India Liquid Fund
Recent NAV trend of DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Tell me about the investment objective of Axis Floating Rate Fund.,Axis Floater Fund
Dividend history of ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Growth or IDCW — which is better for DSP Fixed Maturity 270?,DSP FMP Series 270 - 1144 Days
Returns of SBI Automotive Fund vs Nifty?,SBI Automotive Opportunities Fund
Performance of ICICI 1199 days FMP against its benchmark?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What is the expense ratio of HDFC G-Sec 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Performance of Franklin Short Term against its benchmark?,Franklin India Liquid Fund
What are expert opinions on SBI Auto Opportunities?,SBI Automotive Opportunities Fund
Compare CAGR of ICICI 1199 days FMP over 3 years.,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Any lock-in period for Axis Floating Rate Fund?,Axis Floater Fund
Does MO Business Cycle give regular dividends?,Motilal Oswal Business Cycle Fund
What's the return of Axis Floating Rate Fund in the past 6 months?,Axis Floater Fund
Performance of DSP FMP 270 against its benchmark?,DSP FMP Series 270 - 1144 Days
Expense ratio trends in HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the return of ICICI 1199 days FMP in the past 6 months?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What are expert opinions on SBI Automotive Fund?,SBI Automotive Opportunities Fund
Details about exit load in Axis FRF?,Axis Floater Fund
What's the investment horizon for Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
SEBI classification for HDFC FMP 2638D?,HDFC FMP 2638D February 2023
What's the latest fund review on HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
Any lock-in period for DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
Details about exit load in HDFC G-Sec Fund?,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the return of Bandhan Short Term in the past 6 months?,Bandhan Ultra Short Term Fund
What is the risk level of ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Is Franklin Liquid Fund better than FD?,Franklin India Liquid Fund
Should I hold or redeem my investment in DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
Performance of DSP Fixed Maturity 270 against its benchmark?,DSP FMP Series 270 - 1144 Days
Tell me about the investment objective of DSP FMP 270.,DSP FMP Series 270 - 1144 Days
Should I hold or redeem my investment in Bandhan Bond Income?,Bandhan Bond Fund - Income Plan
Returns of Bandhan UST Fund vs Nifty?,Bandhan Ultra Short Term Fund
Is Bandhan Bond Income a low-risk fund?,Bandhan Bond Fund - Income Plan
Is Bandhan Income Plan better than FD?,Bandhan Bond Fund - Income Plan
Compare CAGR of SBI Automotive Fund over 3 years.,SBI Automotive Opportunities Fund
Growth or IDCW — which is better for SBI Auto Fund?,SBI Automotive Opportunities Fund
Expense ratio trends in Franklin Liquid Fund?,Franklin India Liquid Fund
Can I park surplus money in MO Business Cycle for 6 months?,Motilal Oswal Business Cycle Fund
Dividend history of ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What's the investment horizon for HDFC FMP 2638D?,HDFC FMP 2638D February 2023
What's the investment horizon for Axis Floating Rate Fund?,Axis Floater Fund
I want to start an SIP in DSP FMP 1144 Days. Good idea?,DSP FMP Series 270 - 1144 Days
Compare HDFC Fixed Maturity Plan Feb 2023 with other sectoral funds.,HDFC FMP 2638D February 2023
Should I hold or redeem my investment in Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
SEBI classification for ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Expense ratio trends in Axis Floating Rate Fund?,Axis Floater Fund
Compare Franklin Short Term with other sectoral funds.,Franklin India Liquid Fund
What's the latest fund review on MO Business Cycle?,Motilal Oswal Business Cycle Fund
Tell me the latest NAV of ICICI Pru FMP 1199Q.,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Any lock-in period for Axis FRF?,Axis Floater Fund
Tell me about the investment objective of HDFC FMP 2638D.,HDFC FMP 2638D February 2023
Can I invest in Axis Floating Rate Fund monthly?,Axis Floater Fund
SEBI classification for Franklin India Liquid?,Franklin India Liquid Fund
Is DSP FMP 270 a low-risk fund?,DSP FMP Series 270 - 1144 Days
Is Bandhan Ultra Short a good option for long term investment?,Bandhan Ultra Short Term Fund
I want to start an SIP in ICICI Pru FMP 1199Q. Good idea?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Dividend history of Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
What is the expense ratio of Axis Floating Rate Fund?,Axis Floater Fund
What's the fund size of HDFC FMP 2638D?,HDFC FMP 2638D February 2023
Can I park surplus money in Bandhan Long Term Debt for 6 months?,Bandhan Bond Fund - Income Plan
Who is managing Bandhan Income Plan right now?,Bandhan Bond Fund - Income Plan
What's the latest fund review on Bandhan Bond Income?,Bandhan Bond Fund - Income Plan
What kind of portfolio does SBI Auto Fund maintain?,SBI Automotive Opportunities Fund
What is the expense ratio of Axis FRF?,Axis Floater Fund
Growth or IDCW — which is better for HDFC Fixed Maturity Plan Feb 2023?,HDFC FMP 2638D February 2023
Is HDFC Fixed Maturity Plan Feb 2023 suitable for a conservative investor?,HDFC FMP 2638D February 2023
What are expert opinions on Axis FRF?,Axis Floater Fund
Details about exit load in Bandhan Short Term?,Bandhan Ultra Short Term Fund
Is MO Business Cycle open-ended or closed-ended?,Motilal Oswal Business Cycle Fund
What's the SIP minimum for HDFC Nifty Gilt 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Should I hold or redeem my investment in Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
What's the latest fund review on HDFC FMP Feb 2023?,HDFC FMP 2638D February 2023
Who is managing DSP FMP 270 right now?,DSP FMP Series 270 - 1144 Days
Is ICICI FMP Series 88 actively managed?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Details about exit load in Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
Does Bandhan Ultra Short allow SWP?,Bandhan Ultra Short Term Fund
Tell me about the investment objective of HDFC G-Sec Fund.,HDFC Nifty G-Sec Sep 2032 Index Fund
What is the risk level of ICICI Pru FMP 1199Q?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Review of Bandhan Bond Income fund?,Bandhan Bond Fund - Income Plan
Details about exit load in Franklin India Liquid?,Franklin India Liquid Fund
What are expert opinions on Bandhan Bond Income?,Bandhan Bond Fund - Income Plan
Expense ratio trends in SBI Auto Opportunities?,SBI Automotive Opportunities Fund
Compare CAGR of HDFC G-Sec Fund over 3 years.,HDFC Nifty G-Sec Sep 2032 Index Fund
Compare CAGR of HDFC Fixed Maturity Plan Feb 2023 over 3 years.,HDFC FMP 2638D February 2023
What are expert opinions on Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
What's the latest fund review on Franklin India Liquid?,Franklin India Liquid Fund
SEBI classification for HDFC Nifty Gilt 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
Should I hold or redeem my investment in Axis Floating Rate Fund?,Axis Floater Fund
Can I invest in MO Business Cycle monthly?,Motilal Oswal Business Cycle Fund
Dividend history of HDFC FMP 2638D?,HDFC FMP 2638D February 2023
What's the investment horizon for Axis FRF?,Axis Floater Fund
Dividend history of Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
What's the latest fund review on ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Growth or IDCW — which is better for Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
Returns of ICICI Pru FMP 1199Q vs Nifty?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Review of Motilal Cycle Fund fund?,Motilal Oswal Business Cycle Fund
Is Franklin Liquid Fund suitable for a conservative investor?,Franklin India Liquid Fund
What's the return of Motilal Business Cycle in the past 6 months?,Motilal Oswal Business Cycle Fund
Returns of Bandhan Ultra Short vs Nifty?,Bandhan Ultra Short Term Fund
What's the latest fund review on Axis Floater?,Axis Floater Fund
Details about exit load in ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Who is managing SBI Auto Opportunities right now?,SBI Automotive Opportunities Fund
Can I invest in Bandhan Income Plan for my retirement?,Bandhan Bond Fund - Income Plan
Details about exit load in Motilal Cycle Fund?,Motilal Oswal Business Cycle Fund
Is Bandhan Short Term a low-risk fund?,Bandhan Ultra Short Term Fund
Tell me the latest NAV of MO Business Cycle.,Motilal Oswal Business Cycle Fund
Does SBI Auto Opportunities allow SWP?,SBI Automotive Opportunities Fund
Recent NAV trend of ICICI FMP Series 88?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
How volatile is SBI Auto Opportunities historically?,SBI Automotive Opportunities Fund
Can I invest in Axis Floating Rate Fund for my retirement?,Axis Floater Fund
Tell me about the investment objective of Bandhan Short Term.,Bandhan Ultra Short Term Fund
What's the latest fund review on HDFC Fixed Maturity Plan Feb 2023?,HDFC FMP 2638D February 2023
Can I invest in Franklin Liquid Fund for my retirement?,Franklin India Liquid Fund
Details about exit load in DSP FMP 270?,DSP FMP Series 270 - 1144 Days
Is Franklin India Liquid a low-risk fund?,Franklin India Liquid Fund
Is HDFC G-Sec 2032 open-ended or closed-ended?,HDFC Nifty G-Sec Sep 2032 Index Fund
I want to start an SIP in Bandhan UST Fund. Good idea?,Bandhan Ultra Short Term Fund
Should I hold or redeem my investment in HDFC FMP Feb 2023?,HDFC FMP 2638D February 2023
Any lock-in period for Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
I want to start an SIP in Axis Floating Rate Fund. Good idea?,Axis Floater Fund
What's the latest fund review on Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
Can I invest in Franklin Short Term for my retirement?,Franklin India Liquid Fund
What's the fund size of DSP FMP 1144 Days?,DSP FMP Series 270 - 1144 Days
Review of Bandhan UST Fund fund?,Bandhan Ultra Short Term Fund
Details about exit load in Bandhan Income Plan?,Bandhan Bond Fund - Income Plan
What's the latest fund review on HDFC Nifty Gilt 2032?,HDFC Nifty G-Sec Sep 2032 Index Fund
What's the latest fund review on ICICI 1199 days FMP?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
Compare CAGR of Axis Floater over 3 years.,Axis Floater Fund
Details about exit load in Axis Floater?,Axis Floater Fund
Should I hold or redeem my investment in Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
Can I invest in ICICI FMP Series 88 monthly?,ICICI Prudential Fixed Maturity Plan - Series 88 - 1199 days Plan Q
What are expert opinions on Motilal Business Cycle?,Motilal Oswal Business Cycle Fund
Should I hold or redeem my investment in SBI Automotive Fund?,SBI Automotive Opportunities Fund
Growth or IDCW — which is better for Bandhan Long Term Debt?,Bandhan Bond Fund - Income Plan
How volatile is Bandhan Income Plan historically?,Bandhan Bond Fund - Income Plan
SEBI classification for Axis FRF?,Axis Floater Fund